,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
14,Bubble_minakie,Believer. Singer. Gooner. Messi.Jersey plug. Econs major. Social media manager/consultant. IG:@mz_muna. For ads/promo: 📧 bogunjokoeb@gmail.com.,Emirates.,22795,37579,158721,0,"My birthday is on the 21st of January and here’s what I want:
Crypto
Credit alerts 
Dresses
Wigs from @_Matriach 
Bags and shoes from @Tbillion40 
AirPods 3 from @DrightSauce 
Series 7 Smartwatch from @sire_frank 
Sea food, ijekuje and you can throw in some pararan.
Thank you ❤️",[]
15,Danielesesta81,"#OccupyDeFi✊ #PeopleMaxi - Together we are
One - Frog Nation - 🐸🐸🤝💪 Do not Live asking
Permission",🌖,0,34,39,0,@ojhalm How is the crypto market going for you? Send A Dm,[]
16,wycing61,Hihi,,89,8,60,85,"$LUFFY looking super bullish! Just waiting for the $LUFFY own NFT market place. Buy #LUFFY on uniswap (not on exchange), so you can get free token as reflections.   

$LUFFY #LUFFY #LUFFYCREW #SHIB #FLOKI #SAITAMA #crypto #ETH #dogelon #kishu #Bitcoin #cryptocurrency https://t.co/LpecVD6lKk",['LUFFY']
17,AndresDSA24,Redactando...,,10,1,9,1588,"🎁 #FirstAirdrop2022 🎁

1000$ giveaway
Next 10 winners ✨

1. Follow @kedruga and rt this tweet 
2. Comment your BSC wallet 👀

#Airdrop #Giveaway #Crypto #cryptocurrency #NFTs #NFTGiveaway #SHIB #BabyCheemsInu https://t.co/G2vZJiU3TX",['FirstAirdrop2022']
18,BukanGhoib,"Tiada hasil tanpa usaha
Indonesia Tanah Air Beta
@DanielRoedy
#IwonHanabi
#JihanTesty",Genting,3687,109,14727,8156,"$500 | 7 JUTA RUPIAH OR IPHONE XR FOR ONE WINNER IN 72 HRS 🕊

- retweet &amp; follow (turn on all notif 🔔)

@GAContest_ 
@Crypto_Contest_
@Crypto_Adams https://t.co/JdAFZkiKxt",[]
19,Amirasa67481921,,,117,0,88,96,"New Airdrop: Pope Inu 
Value: $100,000
Rewards: 10,000,000 POPE
Winners: 3000 Winners
End Date: 9th February, 2022
Distribution: After PancakeSwap listing

🔗 Fill the Airdrop Form: https://t.co/ULgyrWS223

#Airdrop #Crypto #Bitcoin #BSC #AirdropAchiever #PopeInu https://t.co/8Sr6sv8PHo",[]
20,HinuChad1,(He/Nu),,10,4,34,0,"@memetoolsapp $HINU #HeliumInu Developing a #BNB staking Battle Royale video game #NFT collection, #BUSD reflection payments
Gaming and NFTs are the future of crypto, don't miss out! @HinuDev
We are listed on CoinMarketCap! We have officially breached $1M mc
#CMC #HeliumInu $HINU #BSCGemsAlert","['HeliumInu', 'BNB', 'NFT', 'BUSD', 'CMC', 'HeliumInu', 'BSCGemsAlert']"
21,YashSharma1705,,India,711,601,41828,48,"Sometimes the most important thing in a whole day is the bullish $TCT we buy.    - #TacoCatToken #Crypto for the mainstream   

#WildCardGame #WildcardP2E is the game changing #P2E from #BlueChipTaco https://t.co/eWFzKf3rgC","['TacoCatToken', 'Crypto']"
22,itejck,I ❤️ Crypto Tokenomics that can help those who need it most. ❤️ #Defi ❤️ 🥷 $SHINJA #SHINJA 🥷#DOJOSWAP #KATANAWALLET #KUSARIBLOCKCHAIN #DOJOVERSE #blockchain,,853,486,12634,0,"@OC_CryptoNurse @WatcherGuru If you haven’t grabbed #SHINJA yet, it’s a smart time to swoop a bag. 🦾🥷❤️
🥷#DOJOSWAP 🥷🌎🚀🌚
🥷#KATANAWALLET🥷🥷🌎🚀🌚                             🥷#DOJOVERSE 🥷🥷🥷🌎🚀🌚
🥷#KUSARIBLOCKCHAIN 🥷🌎🚀🌚#DeFi #crypto #cryptocurrency #blockchain #NFT #Shibnobi #DeFi @Shib_nobi","['SHINJA', 'DOJOSWAP', 'KATANAWALLET', 'DOJOVERSE', 'KUSARIBLOCKCHAIN', 'DeFi', 'crypto', 'cryptocurrency', 'blockchain', 'NFT', 'Shibnobi', 'DeFi']"
23,CRYPTO_VIIKING,.,,218,66,2324,5,"#Listen_audio
Last tym
I updated perfectly

Again updating

Positional long only above $46440/$47800 monthly close

12H/1D close above $44500 may give $46440

@futrii @AltsOracle @EmmaLladro @TARNEETSINGH  @Upndown05402148 @tessa_dawn1 

#RETWEET IF U FIND IT WORTH to help others https://t.co/IpiIZyi3kq https://t.co/qTCjEhhdPO",['Listen_audio']
24,Hooters,New year. Same owl. Use code NEWYEAR for $10 off $50+ orders on the Hooters app or https://t.co/EsaVH7ISJl,,2885,142176,74441,0,Thinking of creating my own crypto and calling it #TitCoin,['TitCoin']
25,Crypto_Igloo,🥷        I love crypto.   🥷,"Vancouver, British Columbia",1397,359,1617,1,"What is Bitboy's insider doing anyway, is he still on the board of Ripple?😂 https://t.co/CgZxxcZjP7",[]
26,wangibigwin2022,Akun khusus GA (only one my GA Acc)ʕ·ᴥ·ʔ💎🍀 #6️⃣5️⃣🎹 #Gabbies ❤️ #LiT bismillah bisa debut di #jihantesti ❤️,🇮🇩,4972,299,38415,621,"🚀 NEXT X100 IDO 🚀

PayTrust is a revolutionary platform in the crypto payments space.

They allow REFUNDS FOR THE FIRST TIME IN THE HISTORY OF THE BLOCKCHAIN!

✅ AUDIT - KYC - TEAM DOXXED. ✅

IDO link: https://t.co/iiYMLMXkHS
TG Group: https://t.co/KsdLISbhV2 https://t.co/O0ze6QdZ3A",[]
27,BlogPuerto,,,461,96,4918,0,"@WatcherGuru 2022 the Shiba Inu Year! Why? Simple, #Shibarium, the Game, solid and secure ecosystem and the most importantly, the community. Real people that are 100% sure that #Shib will be into the first 5 crypto established projects in the world and a Global Currency for the next century!","['Shibarium', 'Shib']"
28,FinancialNews,"FN is the leading source of information about the investment banking, fund management and securities industries.",London,360,61167,92671,0,Crypto broker Bitcoin Suisse snaps up Barclays exec for CEO role https://t.co/zxw1ycMo3a,[]
29,quote_crypto,Given cryptocurrency's current price in USD. Price Updates every 5 minutes. DM and I'll add any other crypto,,1,21,9916,0,"Crypto Prices (USD/₿)

Bitcoin ➨ $41563.6764➷
AxieInfinity ➨ $72.849➷
VeChain ➨ $0.0791➷
EthereumClassic ➨ $23.6092➷
InternetComputer ➨ $30.8705➷
EOS ➨ $2.8552➷

#Crypto #Bitcoin #AxieInfinity #VeChain #EthereumClassic #InternetComputer #EOS","['Crypto', 'Bitcoin', 'AxieInfinity', 'VeChain', 'EthereumClassic', 'InternetComputer', 'EOS']"
30,OluwaGbenga98,Digital/Affiliate Marketer || Videography || Blogger || Shoe Maker,"Lagos, Nigeria",327,40,135,119,"NFT’s can make you rich
Crypto can make you rich
YouTube can make you rich
Real Estate can make you rich
Social media can make you rich
E-Commerce can make you rich
Email marketing can make you rich

All of them work. You just need to choose something &amp; stick with it.",[]
31,krypticrooks,"CEO of Chad Capital... never made it @shitinvest 
Member // @pleasrDAO","Dallas, TX",1652,8304,25713,0,"how to avoid problems with sec when building crypto project. Launch roadmap ""buy this no cap you gunna be rich fam""... profit... stress free relaxation time",[]
32,drnitinchaube,"CEO & CMD-HBH - Health Beyond Healing Pvt Ltd (https://t.co/Dd6h0Hehhx), Senior Partner AAUHT-HBH JV, ICELAND, COVID AYURVEDIC SUPPORT & COUNSELLING","Chennai, Tamil Nadu",403,554,26480,0,"#cryptocrash seems the top trend now 
#Bitcoin #BTC #dogecoin #shiba #Crypto #cryptocurrency #cryptocurrencies","['cryptocrash', 'Bitcoin', 'BTC', 'dogecoin', 'shiba', 'Crypto', 'cryptocurrency', 'cryptocurrencies']"
33,Caterrific_,#NFT #PLAY2EARN #PLAYTOEARN #CRYPTO #GAMING #CRYPTOGAMING #BLOCKCHAIN #BNB #BTC #Bitcoin #ETH #ALTS,Schweiz,1406,800,22775,42,"$TCT @wildcardp2e can't wait to play #wildcardgame !! Bullish !! Success is getting what you want, happiness is wanting what you get. Bullish!! #BlueChipTaco #Crypto https://t.co/mK5SAZ9XI9",['wildcardgame']
34,BobChatter1,,,262,168,9534,31,Am I genuinely missing something? Keep seeing the word dip? You call this a dip?! Zoom out people #safemoon has had one of the strongest couple of weeks in the entire established #crypto world. Most things are tanking. https://t.co/KrXU8Ocr88,['safemoon']
